Tmin,Rainfall,RH,Solar,Wind,Tmax,Discharge
7.8,0,0.69,8.38,3.20,21.1,99.20
7.8,0,0.37,13.48,4.04,20.0,99.20
7.8,0,0.25,17.51,5.19,22.2,99.20
11.1,0,0.21,19.96,3.76,25.6,99.50
12.2,0,0.47,10.46,3.61,25.6,102.00
12.2,0,0.55,9.59,3.40,20.0,102.00
13.3,0,0.72,3.48,4.22,23.3,102.00
11.1,0,0.30,16.49,4.89,20.0,111.70
10.0,15,0.21,21.08,3.97,17.8,137.20
10.0,50,0.18,20.68,3.93,18.9,120.20
11.1,0,0.57,1.99,5.77,20.0,105.30
11.1,0,0.51,4.36,6.73,21.1,109.10
10.0,0,0.26,15.73,5.38,17.8,110.40
11.1,0,0.17,21.22,4.71,20.0,125.70
10.0,0,0.18,20.91,5.03,16.7,161.00
11.1,0,0.43,4.39,7.75,18.9,154.60
11.1,0,0.17,21.69,4.85,21.1,142.70
11.1,0,0.16,22.03,4.03,21.1,141.40
11.1,0,0.14,19.29,4.05,18.9,155.00
12.2,0,0.11,22.41,4.49,23.3,157.10
13.3,0,0.39,9.70,6.22,25.6,147.80
13.3,0,0.17,22.45,3.47,26.7,143.10
13.3,0.8,0.12,22.97,4.07,25.6,143.50
12.2,20,0.17,17.94,4.63,21.1,147.40
12.2,16.5,0.40,9.70,4.22,22.2,146.90
13.3,2.5,0.55,7.69,4.10,25.6,143.10
13.3,,0.23,23.14,3.60,27.8,143.50
14.4,0,0.28,23.05,4.78,28.9,150.30
15.6,0,0.22,23.32,4.06,28.9,156.30
14.4,0.8,0.18,23.60,4.68,27.8,168.60
14.4,3,0.20,23.31,5.25,26.7,178.00
13.3,25.2,0.20,23.34,5.24,22.2,178.00
13.3,0,0.20,23.49,5.71,21.1,186.50
13.3,0,0.15,23.67,6.60,24.4,163.90
13.3,2,0.19,23.64,5.37,25.6,151.60
13.3,3.2,0.30,18.24,5.61,26.7,152.50
14.4,0,0.31,18.73,4.77,27.8,165.50
14.4,0,0.24,22.32,3.68,28.9,198.90
15.6,0,0.20,21.60,3.93,30.0,217.80
15.6,0,0.16,22.66,4.82,31.1,227.80
17.8,3.636,0.27,15.23,3.92,33.9,246.00
17.8,0,0.51,10.13,3.26,33.3,243.10
18.9,0,0.44,18.29,5.27,32.2,237.50
20.0,0,0.19,25.35,6.00,32.2,258.40
15.6,0,0.18,25.14,4.89,28.9,230.10
16.7,0,0.29,19.64,3.55,28.9,215.90
16.7,0,0.59,5.94,5.42,30.0,227.30
16.7,0,0.50,8.07,6.42,30.0,231.20
16.7,3,0.30,19.75,5.60,28.9,218.20
14.4,3.2,0.15,27.13,5.20,21.1,220.50
14.4,2.4,0.17,27.96,4.80,24.4,215.90
14.4,0,0.16,27.82,5.56,26.7,191.30
15.6,0,0.17,27.62,4.60,27.8,182.40
16.7,0,0.14,27.37,5.59,28.9,182.40
15.6,0,0.17,26.33,6.40,25.6,243.10
15.6,0,0.31,11.68,5.88,24.4,257.90
14.4,0,0.19,24.74,5.50,24.4,208.30
14.4,0,0.12,27.39,5.97,25.6,192.10
14.4,0,0.13,27.64,6.35,26.7,204.50
14.4,0,0.14,27.52,6.79,28.9,210.80
15.6,0.5,0.15,27.32,6.21,30.0,213.70
17.8,10,0.11,27.62,5.43,32.2,229.50
18.9,0,0.16,27.85,5.31,33.3,252.20
18.9,0,0.15,27.85,5.93,32.2,249.90
18.9,0,0.18,24.72,6.35,31.1,227.80
17.8,0,0.29,17.73,6.84,32.2,214.20
18.9,10.2,0.14,26.61,4.56,33.3,231.20
20.0,1.5,0.14,27.25,5.51,34.4,257.90
20.0,0,0.22,24.39,6.56,33.3,279.40
18.9,0,0.20,25.77,5.84,32.2,298.10
19.4,0,0.15,27.56,6.08,35.6,344.30
20.0,36,0.12,28.32,5.67,36.7,410.20
20.0,2,0.18,25.74,5.77,33.3,398.20
25.6,0,0.18,13.77,5.24,32.2,376.90
27.2,0,0.13,27.91,4.84,34.4,359.90
20.0,0,0.14,29.15,6.00,36.7,357.10
18.9,0,0.14,28.27,6.56,35.6,391.10
21.1,0,0.13,28.56,6.14,37.8,440.00
22.2,0,0.11,29.29,5.65,36.7,472.50
22.2,0,0.12,29.22,6.04,37.8,490.30
21.1,0,0.17,27.65,5.88,35.6,481.80
21.1,0,0.17,28.44,5.82,34.4,440.70
21.1,0,0.16,28.32,5.23,33.3,406.00
21.1,0,0.18,24.16,4.89,35.6,359.20
22.2,0,0.16,23.12,5.38,36.7,451.30
22.2,0,0.14,26.69,5.17,37.8,527.80
22.2,0,0.15,29.34,5.90,38.9,624.90
23.3,0,0.16,28.88,6.19,38.9,696.40
22.2,0,0.14,27.97,6.37,36.7,673.00
22.2,1.6,0.18,25.95,4.66,36.7,675.90
22.2,1.2,0.12,27.89,5.27,37.8,773.60
21.1,0,0.12,28.83,6.43,31.1,751.70
21.1,0,0.13,19.23,6.63,33.3,629.10
21.1,0,0.15,29.11,6.21,35.6,634.80
22.2,0,0.12,29.56,6.11,36.7,653.20
22.2,0,0.12,30.16,5.01,37.8,684.40
23.3,0,0.11,30.29,4.83,37.8,661.70
23.3,2,0.11,30.29,4.33,38.9,673.80
23.3,0,0.14,29.66,4.66,36.7,685.80
22.2,0,0.20,25.92,3.41,38.9,682.30
23.3,0,0.27,29.24,2.85,36.7,656.00
24.4,0,0.33,27.27,3.41,38.9,577.40
25.6,0,0.31,28.69,3.08,38.9,539.90
24.4,0,0.27,28.81,3.10,37.8,641.30
24.4,0,0.22,29.20,3.15,38.9,776.50
25.6,0,0.14,29.41,4.39,38.9,946.50
21.1,0,0.14,30.27,4.07,37.8,1138.50
20.0,0,0.15,29.99,4.37,33.3,1306.40
21.1,8,0.13,30.07,4.15,34.4,1499.10
21.1,0,0.11,30.23,4.32,35.6,1653.00
22.2,0,0.13,29.83,4.75,37.8,1770.30
22.2,0,0.18,28.73,4.53,36.7,1776.30
22.2,0,0.26,28.10,3.50,35.6,1408.10
21.1,0,0.31,25.06,3.23,31.1,1193.10
22.2,0,0.27,28.95,3.32,33.3,1246.90
24.4,0,0.23,29.34,3.36,36.7,1371.60
23.3,0,0.19,29.96,4.07,34.4,1455.80
24.4,0,0.19,30.18,4.86,34.4,1559.50
25.6,0,0.15,30.29,5.01,37.8,1666.60
20.0,0,0.12,30.28,5.05,35.6,1543.30
20.0,0,0.14,30.38,4.50,33.3,1384.30
21.1,0,0.10,30.67,4.91,34.4,1086.80
21.1,0,0.12,30.23,4.58,33.3,853.70
22.2,16.6,0.11,30.20,4.21,35.6,959.30
22.2,14.6,0.13,29.91,4.34,34.4,1190.90
23.3,0,0.19,29.41,3.31,35.6,1295.80
23.3,13.5,0.18,29.26,3.99,37.8,1331.90
24.4,6.4,0.13,29.64,4.50,38.9,1346.10
23.9,11.5,0.14,29.60,4.44,39.4,1415.80
24.4,0,0.12,29.22,4.18,38.9,1509.90
25.6,19,0.14,29.41,4.54,40.0,1550.10
25.6,0,0.15,29.19,5.03,40.0,1610.50
26.7,0,0.11,29.56,4.93,41.1,1662.30
25.6,0,0.18,28.96,4.54,40.0,1664.00
23.3,0,0.15,28.67,4.02,38.9,1744.80
25.6,0,0.12,29.53,4.14,38.9,1804.30
25.6,22,0.22,29.00,3.57,37.8,1716.80
25.6,4.4,0.23,28.61,3.86,38.9,1647.00
26.7,0,0.20,28.70,4.58,40.0,1439.60
25.6,0,0.15,29.63,4.27,38.9,1322.70
24.4,0,0.20,28.83,3.07,38.9,1327.70
24.4,0,0.36,28.11,2.45,37.8,1296.50
22.2,0,0.53,25.50,2.11,27.8,1239.80
24.4,0,0.73,16.90,1.67,34.4,1268.20
24.4,0,0.59,24.40,2.32,35.6,1353.90
23.3,0,0.62,24.36,2.67,30.0,1292.20
23.3,0,0.42,27.09,2.79,32.2,1317.70
24.4,0,0.34,27.91,3.05,35.6,1394.50
23.3,0,0.47,25.55,2.17,34.4,1415.80
22.2,0,0.34,27.21,2.76,33.3,1551.00
23.3,0,0.31,26.86,3.08,33.3,1618.10
24.4,8,0.20,27.74,3.81,33.3,1657.20
23.3,0,0.23,27.12,3.08,27.8,1531.40
23.3,0.8,0.46,27.20,2.64,32.2,1414.10
23.3,2,0.57,19.23,1.96,33.3,1397.10
23.3,0,0.48,23.43,2.37,34.4,1344.00
24.4,0,0.44,26.80,2.59,35.6,1278.80
23.3,0,0.30,27.14,3.69,34.4,1202.30
24.4,11,0.44,25.24,2.85,33.3,1228.50
24.4,4.4,0.66,25.82,2.08,35.6,1265.30
23.3,0,0.56,26.65,2.53,34.4,1297.10
23.3,0,0.56,26.33,2.28,35.6,1241.90
22.2,70.5,0.58,26.35,1.93,33.3,1251.90
22.2,1,0.59,25.57,2.35,32.2,1262.50
23.3,0,0.62,16.44,3.08,32.2,1166.10
24.4,0,0.64,6.74,3.73,34.4,1180.30
23.3,57,0.49,26.27,2.66,35.6,1119.40
22.2,3.5,0.38,26.48,3.06,34.4,1018.80
23.3,2,0.34,26.52,3.24,35.6,988.30
22.2,44.4,0.41,25.93,3.08,35.6,958.60
24.4,2.5,0.42,25.65,3.47,33.3,1008.90
23.3,0,0.49,25.49,3.27,32.2,952.90
23.3,0,0.65,24.31,2.17,33.3,794.20
21.1,5,0.58,24.74,2.48,23.3,696.40
22.2,6.2,0.58,23.53,2.35,33.3,632.70
22.2,0,0.62,23.67,2.22,35.6,636.90
23.3,0,0.58,11.25,2.63,35.6,692.20
24.4,0,0.58,15.04,2.17,34.4,785.00
24.4,0,0.79,0.92,3.16,32.2,868.60
23.3,7.6,0.63,6.68,2.08,33.3,892.70
22.2,0,0.64,6.67,1.44,31.1,882.70
23.3,0,0.64,13.85,2.49,32.2,889.10
23.3,0,0.81,22.37,1.91,33.3,921.00
22.2,24.2,0.82,17.99,1.82,32.2,940.80
22.2,20,0.62,21.64,2.12,25.6,975.60
22.2,0,0.58,14.32,1.66,30.0,931.60
22.2,0,0.59,8.25,2.20,27.8,848.00
22.2,0,0.74,23.24,1.78,34.4,861.50
22.2,10.5,0.76,22.29,2.19,31.1,798.40
23.3,16.5,0.61,23.13,2.16,32.2,767.30
23.3,24,0.53,23.27,3.03,33.3,815.40
22.2,0,0.55,22.91,2.07,32.2,913.90
21.1,0,0.50,22.86,3.08,27.8,881.30
22.2,0,0.49,22.90,2.89,28.9,899.00
22.2,2.4,0.47,22.46,3.08,32.2,869.30
23.3,0,0.43,22.81,3.23,33.3,855.80
23.3,0,0.54,22.80,2.30,33.3,815.40
22.2,0,0.61,20.62,1.71,33.3,775.10
23.3,12,0.49,22.44,2.74,33.3,792.80
22.2,0,0.45,22.28,2.48,32.2,792.80
22.2,8,0.62,21.75,2.23,33.3,734.00
23.3,7.6,0.59,21.77,2.54,34.4,703.50
22.2,2.5,0.41,21.19,3.60,32.2,661.00
22.2,2.5,0.39,21.81,3.35,33.3,646.80
22.2,0,0.34,21.66,3.52,32.2,623.50
22.2,1.5,0.28,18.69,3.59,33.3,607.90
22.2,0,0.23,22.16,4.02,33.3,617.80
22.2,0,0.23,21.98,3.93,31.1,608.60
21.1,15,0.21,21.95,4.17,28.9,598.70
21.1,16.5,0.25,21.29,3.56,30.0,563.20
21.1,6.4,0.24,21.62,3.27,27.8,486.70
20.0,0,0.19,21.63,4.25,32.2,459.90
21.1,0,0.20,21.10,4.03,33.3,418.00
21.1,0,0.19,21.28,3.74,33.3,396.00
20.0,0,0.18,21.19,4.55,33.3,371.90
20.0,6.8,0.13,21.05,4.48,33.3,354.90
20.0,8.4,0.13,21.24,4.24,33.3,331.60
18.9,0,0.10,21.47,4.03,33.3,309.60
18.9,0,0.09,21.54,4.07,32.2,305.30
20.0,0,0.11,21.20,3.85,33.3,295.40
18.9,0,0.10,20.96,3.75,34.4,280.60
17.8,6.4,0.10,20.54,4.05,33.3,280.60
17.8,14,0.12,20.25,3.79,33.3,278.90
17.8,8,0.11,20.06,4.40,31.1,268.10
17.8,45.4,0.12,20.09,4.39,32.2,252.20
17.8,2.4,0.14,19.78,3.90,31.1,246.50
16.7,2.5,0.11,19.77,4.20,31.1,246.50
16.7,1.4,0.09,19.77,4.70,31.1,239.70
17.8,0,0.08,19.63,5.19,32.2,234.60
17.8,0,0.07,19.66,4.32,31.1,229.50
17.8,0,0.10,19.26,3.57,32.2,223.30
16.7,1.8,0.13,18.90,3.57,31.1,218.20
17.8,0,0.18,18.03,3.85,32.2,217.10
16.7,0,0.15,18.85,3.55,32.2,208.00
17.8,0,0.16,18.72,3.96,32.2,207.20
16.7,0,0.15,18.46,3.72,32.2,207.30
15.6,0,0.11,18.41,4.46,32.2,206.40
15.6,0,0.11,18.17,3.76,31.1,203.60
15.6,0,0.15,17.71,4.55,31.1,199.40
15.6,0,0.13,17.84,4.61,31.1,193.00
14.4,0,0.11,17.87,4.45,23.3,190.90
14.4,0,0.11,17.80,4.31,30.0,186.60
14.4,0,0.13,17.28,4.68,31.1,182.80
15.6,0,0.13,16.89,4.69,30.0,182.80
14.4,0,0.12,16.66,4.50,30.0,182.80
15.6,0,0.14,16.47,4.81,28.9,182.80
15.6,0,0.12,16.60,4.43,30.0,182.80
14.4,0,0.11,16.84,4.07,31.1,182.40
13.3,0,0.10,17.11,3.93,31.1,178.50
15.6,0,0.14,16.81,4.19,30.0,178.50
16.7,0,0.15,16.68,3.69,30.0,178.50
13.3,0,0.19,16.42,3.61,30.0,178.10
15.6,0,0.17,16.23,3.93,28.9,174.30
16.7,0,0.13,16.23,3.84,27.8,173.90
17.8,0,0.14,16.01,4.07,28.9,170.00
16.7,0,0.14,15.34,4.23,27.8,169.60
15.6,3.6,0.14,15.39,4.54,27.8,165.80
16.7,5.2,0.23,15.11,3.09,28.9,165.80
15.6,0,0.32,12.24,3.01,27.8,165.80
16.7,0,0.14,15.01,3.62,27.8,165.40
15.6,0,0.16,14.99,3.57,26.7,161.50
16.7,0,0.09,14.95,4.10,27.8,161.10
15.6,0,0.09,15.22,4.21,27.8,157.30
16.7,0,0.14,15.36,3.23,28.9,157.30
13.3,0,0.14,14.92,3.49,23.3,157.30
13.3,0,0.12,14.66,3.96,24.4,156.90
12.2,0,0.12,14.61,4.40,22.2,152.60
10.0,0,0.11,14.69,4.15,21.1,148.80
11.1,0,0.09,14.68,4.28,23.3,148.40
11.1,0,0.11,14.49,4.11,23.3,144.50
11.1,0,0.11,14.34,4.19,25.6,144.50
11.1,0,0.12,13.08,3.89,24.4,144.10
11.1,0,0.13,13.26,3.41,24.4,140.30
10.0,0,0.15,11.38,3.51,23.3,140.30
10.0,0,0.19,12.53,4.25,23.3,140.30
8.9,0,0.09,14.03,4.33,24.4,139.90
10.0,0,0.15,13.96,3.38,24.4,136.00
8.9,0,0.22,13.19,3.44,25.6,136.00
10.0,0,0.15,13.66,3.85,25.6,135.60
11.1,0,0.16,13.63,3.55,24.4,131.80
11.1,0,0.16,13.49,3.91,25.6,131.80
10.0,0.5,0.18,13.12,4.20,23.3,131.30
10.0,0,0.25,12.87,4.20,24.4,127.50
10.0,0,0.21,13.12,3.27,24.4,127.50
11.1,0,0.22,10.76,3.52,24.4,127.50
10.0,0,0.23,12.55,3.91,23.3,127.50
8.9,0,0.20,12.57,4.01,23.3,127.20
8.9,0,0.20,12.86,3.45,23.3,127.20
10.0,0,0.24,12.62,3.63,23.3,127.20
10.0,0,0.31,12.18,2.97,23.3,127.00
10.0,0,0.24,12.25,3.45,23.3,126.80
10.0,0,0.26,12.34,3.70,23.3,126.80
8.9,0,0.24,10.69,3.77,23.3,126.70
8.9,0,0.16,12.55,4.13,24.4,126.10
10.0,0,0.08,11.42,2.99,24.4,126.10
8.9,0,0.04,11.94,3.70,22.2,126.10
8.9,0,0.08,11.83,3.58,22.2,125.70
8.9,0,0.18,10.40,2.80,23.3,125.30
10.0,0,0.71,1.70,4.16,23.3,125.30
8.9,0,0.37,8.79,3.65,22.2,125.30
10.0,0,0.50,7.70,2.41,24.4,125.30
10.0,0,0.71,2.03,2.26,24.4,125.10
10.0,0,0.52,5.42,2.58,21.1,123.00
11.1,0,0.39,12.60,2.97,23.3,122.60
7.8,0,0.47,8.87,4.01,22.2,122.60
7.8,0,0.33,12.36,3.82,18.9,122.60
10.0,0,0.25,13.13,3.34,14.4,122.60
7.8,0,0.34,11.37,3.21,15.6,123.00
7.8,0,0.20,0.07,4.81,16.7,126.40
7.8,0,0.19,13.43,3.11,11.1,123.00
6.7,0,0.22,12.50,4.02,8.9,126.40
6.7,0,0.23,13.13,3.60,13.3,122.60
6.7,0,0.20,12.52,4.23,14.4,122.60
6.7,0,0.20,12.85,3.85,15.6,122.10
5.6,0,0.22,12.83,2.89,16.7,118.30
4.4,0,0.43,10.53,2.60,15.6,118.30
4.4,0,0.36,12.85,2.95,16.7,118.30
5.6,0,0.32,13.38,3.00,16.7,118.30
4.4,0,0.49,13.28,2.31,16.7,118.30
5.6,0,0.71,1.74,3.10,16.7,117.90
4.4,0,0.32,13.65,3.59,16.7,117.60
5.6,0,0.18,10.83,3.53,16.7,117.60
4.4,0,0.17,11.92,3.41,15.6,117.60
6.7,15.8,0.25,13.54,3.46,18.9,117.60
7.8,7,0.23,13.77,4.22,20.0,117.60
7.8,20,0.23,14.19,4.11,21.1,117.60
7.8,5,0.23,12.18,3.09,20.0,117.60
4.4,14.5,0.23,13.44,3.92,16.7,124.00
5.6,0,0.26,12.96,3.30,18.9,121.40
6.7,0,0.23,13.77,4.39,17.8,117.60
6.7,0,0.27,14.28,3.52,16.7,117.60
6.7,0,0.29,12.89,4.34,20.0,117.60
6.7,0,0.46,9.16,4.94,21.1,117.60
6.7,0,0.53,8.38,5.52,22.2,117.60
6.7,0,0.37,9.77,5.64,16.7,117.60
6.7,0,0.83,1.28,3.30,20.0,117.20
6.7,0,0.87,0.90,3.57,16.7,113.40
7.8,0,0.84,1.06,5.20,20.0,113.40
7.8,0,0.79,1.89,3.26,20.0,112.90
8.9,0,0.34,15.18,3.99,22.2,110.50
10.0,3.5,0.26,14.33,4.66,18.9,110.50
11.1,0,0.19,15.79,5.12,23.3,110.50
11.1,0,0.21,13.87,5.13,18.9,110.80
11.1,20.4,0.28,15.20,4.82,13.3,120.60
10.0,2.5,0.36,15.34,4.30,13.3,135.00
11.1,0,0.86,1.10,4.00,15.6,169.50
10.0,0,0.84,1.53,4.53,13.3,207.30
8.9,0,0.67,16.49,4.40,20.0,163.90
8.9,0,0.33,16.78,4.59,20.0,147.80
7.8,0,0.30,17.20,3.90,18.9,128.20
7.8,0,0.23,17.39,4.14,20.0,126.10
6.7,0,0.66,8.41,4.28,20.0,126.10
7.8,0,0.66,2.50,3.46,20.0,126.50
6.7,0,0.36,17.22,4.09,16.7,129.90
5.6,0,0.28,17.86,4.32,12.2,126.10
6.7,0,0.27,18.03,3.57,20.0,125.70
6.7,0,0.25,16.38,4.75,18.9,121.90
6.7,0,0.25,18.21,3.58,20.0,121.90
5.6,0,0.31,8.43,3.59,20.0,121.90
6.7,1,0.27,16.93,4.86,17.8,121.90
6.7,11.5,0.25,16.81,3.66,17.8,121.40
6.7,6.5,0.20,18.33,4.25,18.9,117.60
7.8,41,0.20,18.35,4.40,18.9,117.60
7.8,22.5,0.23,18.97,4.16,21.1,117.60
7.8,0,0.27,18.97,3.70,20.0,117.60
6.7,0,0.26,18.47,4.01,18.9,117.60
6.7,0,0.17,17.71,4.55,15.6,117.60
6.7,0,0.32,12.70,5.39,18.9,117.60
6.7,0,0.25,18.31,4.59,20.0,117.20
6.7,0,0.14,19.64,4.20,20.0,113.40
7.8,12,0.06,20.38,5.44,18.9,113.40
7.8,19.8,0.09,19.89,5.74,21.1,113.40
8.9,0,0.16,20.03,4.96,22.2,112.90
11.1,0,0.28,15.03,4.82,23.3,110.50
13.3,0,0.08,20.98,4.84,25.6,110.50
14.4,0,0.06,21.46,4.86,26.7,110.50
13.3,6.8,0.05,21.38,5.02,25.6,110.50
14.4,9.2,0.09,21.30,5.73,26.7,110.50
13.3,0,0.13,20.63,6.79,26.7,110.80
14.4,0,0.46,6.30,6.84,27.8,113.40
14.4,0,0.67,5.14,5.47,28.9,113.40
14.4,0,0.77,1.37,4.99,27.8,113.80
14.4,0,0.47,11.24,5.25,27.8,117.60
14.4,0,0.27,21.97,4.76,28.9,117.60
15.6,0,0.24,21.43,4.92,28.9,117.60
15.6,0,0.23,11.53,5.21,28.9,117.60
13.3,6.1,0.15,22.16,5.67,27.8,117.60
14.4,0,0.26,18.30,6.82,26.7,118.00
14.4,0,0.43,10.79,6.56,22.2,122.70
11.1,0,0.48,16.20,4.45,16.7,129.90
11.1,0,0.74,5.08,4.67,21.1,125.70
11.1,0,0.69,5.78,5.86,24.4,126.10
14.4,2,0.42,13.42,4.18,26.1,125.70
13.3,0,0.62,4.48,4.10,25.6,122.30
14.4,0,0.28,21.61,3.24,27.8,128.70
14.4,0,0.30,16.25,3.53,28.9,130.80
14.4,0,0.39,8.12,5.61,21.1,130.80
15.6,0.2,0.25,21.68,3.87,26.7,134.20
13.3,0,0.25,17.59,4.05,23.3,192.80
14.4,0,0.15,24.08,5.01,17.8,215.40
14.4,0,0.13,20.15,3.74,24.4,166.60
14.4,0,0.18,21.61,4.42,15.6,162.80
14.4,0,0.13,22.53,4.90,25.6,157.70
15.6,0,0.16,24.21,5.56,26.7,148.40
15.6,0,0.27,21.43,6.18,25.6,145.40
14.4,1.3,0.34,11.73,4.46,26.7,152.60
13.3,16.2,0.11,22.38,4.75,25.6,145.80
13.3,3.7,0.09,23.75,4.13,26.7,139.90
14.4,0,0.31,13.31,3.98,27.8,133.00
14.4,0,0.22,13.15,4.42,27.8,132.90
15.6,0,0.15,23.03,3.94,28.9,134.60
14.4,0,0.11,25.86,4.18,27.8,147.50
15.6,0.2,0.14,25.75,4.36,30.0,149.20
14.4,2.4,0.14,24.77,4.76,28.9,152.60
14.4,0,0.17,25.59,4.62,26.7,148.40
15.6,7.8,0.18,25.65,5.62,28.9,145.40
15.6,4.7,0.19,22.08,6.32,30.0,156.00
15.6,0,0.19,25.56,5.48,30.0,154.70
16.7,2.5,0.17,24.39,6.68,30.0,154.30
17.8,0,0.16,25.43,5.14,31.1,161.10
16.7,0,0.45,19.40,6.10,32.2,157.30
16.7,0,0.32,11.47,4.35,31.1,157.30
16.7,0,0.26,26.05,4.39,31.1,157.30
17.8,0,0.20,26.53,5.43,33.3,162.40
18.9,0,0.19,26.55,5.14,31.1,173.40
21.1,0,0.19,26.67,4.95,33.3,179.00
21.1,0,0.22,26.52,5.42,32.2,184.50
21.1,0,0.22,25.01,5.07,33.3,204.50
20.0,0,0.27,12.71,4.84,32.2,209.60
16.7,0.6,0.18,23.98,5.59,30.0,195.20
18.9,0,0.17,26.31,5.89,31.1,192.10
20.0,0,0.17,26.66,5.80,33.3,204.00
20.0,0,0.25,21.82,4.51,33.3,229.00
21.1,0.4,0.26,18.03,4.50,34.4,264.10
22.2,0,0.19,21.09,3.65,34.4,297.00
23.3,0,0.15,27.99,5.72,35.6,322.50
22.2,0,0.15,28.53,5.46,34.4,330.40
20.0,0,0.13,26.91,5.81,34.4,294.70
20.0,0,0.15,25.92,5.50,33.3,295.90
18.9,0,0.12,28.74,5.24,33.3,284.50
16.7,0,0.15,27.97,5.48,32.2,326.50
16.7,0,0.15,27.98,5.27,31.1,293.60
17.8,0,0.15,27.90,6.05,32.2,259.60
20.0,0,0.14,27.91,5.92,33.3,232.40
20.0,0,0.11,28.26,5.77,34.4,239.20
20.0,1,0.13,24.54,5.16,33.3,272.60
21.1,0,0.12,28.16,6.29,34.4,302.10
17.8,0,0.15,21.77,5.38,35.6,328.70
24.4,0,0.28,20.66,4.17,37.8,390.40
24.4,0,0.19,27.23,5.22,38.9,436.40
25.6,0,0.20,28.07,5.06,40.0,503.70
25.6,0,0.14,28.89,5.52,40.0,530.60
24.4,0,0.16,28.80,5.15,38.9,551.20
24.4,0,0.16,27.83,4.37,40.0,534.20
23.3,1,0.17,28.58,3.96,35.6,495.90
24.4,2,0.22,27.93,3.52,35.6,430.70
21.1,0.5,0.18,27.06,3.78,31.1,370.50
21.1,20,0.18,28.71,5.57,34.4,328.00
22.2,1.5,0.13,25.27,5.56,36.7,321.90
23.3,1.5,0.19,25.13,4.11,36.7,359.20
25.6,0,0.14,28.78,4.04,37.8,503.70
22.2,0,0.16,28.93,4.75,33.9,539.90
21.1,0,0.13,29.33,5.54,34.4,574.60
22.2,0,0.13,27.57,6.34,33.3,551.90
21.1,0,0.17,28.77,6.23,32.2,406.00
23.3,0,0.18,27.97,5.60,35.6,427.90
21.1,0,0.17,28.29,5.76,33.3,415.20
18.9,0,0.18,28.59,5.71,32.2,374.10
22.2,0,0.15,27.08,5.20,33.3,325.30
22.2,0,0.16,29.48,4.23,36.7,373.40
23.3,0,0.14,29.45,3.75,37.8,405.20
24.4,0,0.14,29.00,5.02,40.0,463.30
24.4,0,0.13,28.60,5.83,38.9,510.80
25.6,0,0.15,29.61,5.29,38.9,576.00
26.7,0,0.13,29.46,5.36,41.1,622.70
24.4,0,0.12,29.59,5.51,40.0,714.80
22.2,0,0.10,30.03,5.05,38.9,693.60
24.4,0,0.11,29.46,4.80,36.7,680.80
