Id,Location,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
76,Biscoe,6.6,3,4.4,1.4,Iris-versicolor
77,Biscoe,6.8,2.8,4.8,1.4,Iris-versicolor
78,Biscoe,6.7,3,5,1.7,Iris-versicolor
79,Biscoe,6,2.9,4.5,1.5,Iris-versicolor
80,Biscoe,5.7,2.6,3.5,1,Iris-versicolor
81,Biscoe,5.5,2.4,3.8,1.1,Iris-versicolor
82,Biscoe,5.5,2.4,3.7,1,Iris-versicolor
83,Biscoe,5.8,2.7,3.9,1.2,Iris-versicolor
84,Biscoe,6,2.7,5.1,1.6,Iris-versicolor
85,Biscoe,5.4,3,4.5,1.5,Iris-versicolor
86,Biscoe,6,3.4,4.5,1.6,Iris-versicolor
87,Biscoe,6.7,3.1,4.7,1.5,Iris-versicolor
88,Biscoe,6.3,2.3,4.4,1.3,Iris-versicolor
89,Biscoe,5.6,3,4.1,1.3,Iris-versicolor
90,Biscoe,5.5,2.5,4,1.3,Iris-versicolor
91,Biscoe,NA,2.6,4.4,1.2,Iris-versicolor
92,Biscoe,6.1,3,4.6,1.4,Iris-versicolor
93,Biscoe,5.8,2.6,4,1.2,Iris-versicolor
94,Biscoe,5,2.3,3.3,1,Iris-versicolor
95,Biscoe,5.6,2.7,4.2,1.3,Iris-versicolor
96,Biscoe,5.7,3,4.2,1.2,Iris-versicolor
97,Biscoe,5.7,2.9,4.2,1.3,Iris-versicolor
98,Biscoe,6.2,2.9,4.3,1.3,Iris-versicolor
99,Biscoe,5.1,2.5,3,1.1,Iris-versicolor
100,Biscoe,5.7,2.8,4.1,1.3,Iris-versicolor
